stage,value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s,fold
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,1,0.7008928571428555,0.9374999999999917,0.9390243902438911,0.7481714063324018,0.18767565559080104,73.6192684173584,73.6192684173584,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,2,0.9196428571428551,0.9821428571428484,0.9999999999999879,0.24234125561114078,0.04641094955149997,51.5925817489624,125.2118501663208,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,3,0.890624999999998,0.973214285714277,0.9999999999999879,0.2863512007253504,0.06350748481262153,51.31635117530823,176.52820134162903,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,4,0.9285714285714265,0.9999999999999911,0.9878048780487685,0.2009860876756383,0.030946125309647982,51.43123483657837,227.9594361782074,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,5,0.9575892857142835,0.9999999999999911,0.9999999999999879,0.10775111035244249,0.008309891235512549,52.634994983673096,280.5944311618805,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,6,0.9687499999999978,0.9999999999999911,0.9999999999999879,0.08879187815442212,0.010849470576171534,56.5774712562561,337.1719024181366,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,7,0.9821428571428549,0.9999999999999911,0.9999999999999879,0.04790296926512372,0.005247342726501515,53.76543045043945,390.93733286857605,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,8,0.9575892857142835,0.9821428571428484,0.9999999999999879,0.10178089897713734,0.021806273056946535,75.66329383850098,466.600626707077,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,9,0.9687499999999978,0.9999999999999911,0.9999999999999879,0.117280038458245,0.009668067026983062,56.34673452377319,522.9473612308502,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,10,0.9776785714285692,0.9999999999999911,0.9878048780487685,0.05060776737134011,0.00431202894521574,55.902496337890625,578.8498575687408,1
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,1,0.6808035714285698,0.973214285714277,0.9634146341463298,0.9077983273725404,0.17053388923938634,54.59760928153992,54.59760928153992,2
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,2,0.8883928571428551,0.9910714285714197,0.9878048780487685,0.319594294331701,0.06199968990404104,51.21676850318909,105.814377784729,2
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,3,0.8727678571428551,0.9910714285714197,0.9999999999999879,0.31651266913727916,0.0400479156274478,50.85731077194214,156.67168855667114,2
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,4,0.9419642857142836,0.9999999999999911,0.9756097560975492,0.1906779185685857,0.03161978619755218,51.38784837722778,208.05953693389893,2
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,5,0.9218749999999979,0.9821428571428484,0.9756097560975492,0.19574796058337293,0.039009727832827634,51.17984580993652,259.23938274383545,2
epoch,10,1,20251202_172237,Adam,ReLU,12,0.001,2,64,6,0.9308035714285693,0.9910714285714197,0.9756097560975492,0.19909228856808328,0.04233218366945391,54.98592710494995,314.2253098487854,2
