parameter,param_value,run_id,timestamp,optimizer,activation,batch_size,learning_rate,dense_layers,input_size,epochs,epoch,train_acc,val_acc,test_acc,train_loss,val_loss,epoch_time,total_time_s
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,2,0.7794642857142855,0.956249999999994,0.9268292682926716,0.8072502876676262,0.13023396134376444,687.3251824378967,1380.9885230064392
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,3,0.7788690476190474,0.8562499999999946,0.9146341463414523,0.8941821009630246,0.9873250938951907,692.5727488994598,2073.561271905899
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,4,0.7913690476190474,0.8749999999999946,0.8902439024390136,0.9075751310657885,0.7612995028495742,687.2891986370087,2760.8504705429077
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,5,0.7976190476190474,0.8999999999999944,0.9024390243902329,0.8079716078582262,0.5261524535715547,712.7974026203156,3473.6478731632233
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,6,0.7961309523809522,0.8874999999999945,0.9756097560975492,0.923244112730026,0.4628011524677248,697.8075335025787,4171.455406665802
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,7,0.8163690476190474,0.8187499999999949,0.7804878048780393,0.7684538905464465,1.5000717438757327,687.3530735969543,4858.808480262756
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,8,0.8145833333333331,0.962499999999994,0.9390243902438911,0.8092399684091407,0.1579009659588327,687.976987361908,5546.785467624664
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,9,0.801488095238095,0.8999999999999944,0.9268292682926716,0.8697943606901735,0.874956830590958,687.6765177249908,6234.461985349655
learning_rate,0.003,3,20251129_131458,Adam,ReLU,4,0.003,1,64,10,10,0.8163690476190474,0.956249999999994,0.9268292682926716,0.8316676459851717,0.337162036448715,705.3740260601044,6939.8360114097595
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,1,0.6991071428571427,0.9249999999999943,0.9634146341463298,1.2097639675651275,0.5821847870945894,694.0508027076721,694.0508027076721
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,2,0.7776785714285712,0.812499999999995,0.8780487804877942,1.0299649973355585,1.441981077194205,679.4698400497437,1373.5206427574158
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,3,0.7520833333333331,0.9499999999999941,0.9634146341463298,1.3501918914417421,0.2760055623948557,449.502320766449,1823.0229635238647
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,4,0.7788690476190474,0.8937499999999945,0.9512195121951104,1.144542048729601,0.7507981546223117,685.2142691612244,2508.237232685089
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,5,0.8071428571428569,0.9249999999999943,0.9756097560975492,1.094718317758469,0.9519383415579736,706.8653478622437,3215.1025805473328
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,6,0.7928571428571426,0.968749999999994,0.9512195121951104,1.2743329330569217,0.23855623304843754,696.5910851955414,3911.693665742874
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,7,0.8059523809523808,0.8437499999999948,0.9512195121951104,1.1412875269140512,0.9280803918838443,685.9544968605042,4597.648162603378
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,8,0.8133928571428569,0.8687499999999946,0.9512195121951104,1.1238440674685293,1.121553323417895,694.5766589641571,5292.224821567535
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,9,0.8089285714285712,0.8937499999999945,0.9390243902438911,1.2096727276487007,0.8075090035796115,688.7158358097076,5980.940657377243
learning_rate,0.004,4,20251129_150609,Adam,ReLU,4,0.004,1,64,10,10,0.826785714285714,0.9249999999999943,0.9756097560975492,0.9623870575357049,0.58122198656201,688.2785630226135,6669.219220399857
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,1,0.6916666666666664,0.7249999999999955,0.8048780487804781,1.361860857974915,3.4065763644873885,709.5574150085449,709.5574150085449
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,2,0.7604166666666664,0.8749999999999946,0.9390243902438911,1.2645869062415187,1.6401958011090654,702.8170874118805,1412.3745024204254
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,3,0.7800595238095236,0.9374999999999942,0.9512195121951104,1.303505904830637,0.33219330683350357,687.7875277996063,2100.1620302200317
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,4,0.7812499999999998,0.8874999999999945,0.9634146341463298,1.4916270054876801,0.8787156037986223,698.8438878059387,2799.0059180259705
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,5,0.7833333333333331,0.8312499999999948,0.8902439024390136,1.513129511972268,1.307449747622005,694.8068289756775,3493.812747001648
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,6,0.7985119047619046,0.9187499999999943,0.9634146341463298,1.2830807955492107,0.6174282975494824,709.8716847896576,4203.6844317913055
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,7,0.8038690476190474,0.7749999999999951,0.7926829268292587,1.3077151269430203,2.566373469680532,683.8888676166534,4887.573299407959
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,8,0.7880952380952378,0.9249999999999943,0.9024390243902329,1.4829445536292731,0.5546323977410759,696.8274953365326,5584.400794744492
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,9,0.8068452380952379,0.8874999999999945,0.9146341463414523,1.245279575777905,1.7270086467265975,702.9249629974365,6287.325757741928
learning_rate,0.005,5,20251129_170237,Adam,ReLU,4,0.005,1,64,10,10,0.8127976190476188,0.9249999999999943,0.9512195121951104,1.3662875657280282,0.7006533503532366,699.0039360523224,6986.3296937942505
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,1,0.7142857142857141,0.8749999999999946,0.9146341463414523,1.6527330568858551,0.9170906923711243,717.153689622879,717.153689622879
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,2,0.7708333333333331,0.9312499999999942,0.9634146341463298,1.6210503912752579,0.363822107017038,689.0253856182098,1406.1790752410889
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,3,0.7880952380952378,0.8624999999999946,0.8658536585365748,1.5052939660137603,3.6324273653328194,699.5594463348389,2105.7385215759277
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,4,0.7851190476190474,0.8999999999999944,0.9756097560975492,1.6857915630652787,1.0475144714116984,687.2457976341248,2792.9843192100525
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,5,0.7773809523809522,0.9124999999999943,0.9512195121951104,1.8410507403668899,0.5011890433728664,705.2618319988251,3498.2461512088776
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,6,0.8002976190476189,0.8999999999999944,0.9634146341463298,1.7247376121935385,0.7924474112689446,704.0228798389435,4202.269031047821
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,7,0.8026785714285712,0.8999999999999944,0.9146341463414523,1.6256099728246525,1.3692621350288305,691.1811628341675,4893.4501938819885
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,8,0.8044642857142855,0.9437499999999941,0.9268292682926716,1.665914260879868,0.5570216365158523,694.1348786354065,5587.585072517395
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,9,0.8092261904761903,0.9499999999999941,0.9878048780487685,1.783021690164293,0.3258664257824401,695.7497308254242,6283.334803342819
learning_rate,0.006,6,20251129_185859,Adam,ReLU,4,0.006,1,64,10,10,0.820535714285714,0.9062499999999943,0.9878048780487685,1.4358895907799398,0.5791034780442679,695.94140458107,6979.276207923889
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,1,0.7020833333333332,0.6249999999999961,0.6951219512195037,1.7462582225246084,3.7654094778001075,705.792754650116,705.792754650116
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,2,0.7571428571428569,0.9124999999999943,0.8292682926829168,1.793958640205008,0.9303837575018348,699.325187921524,1405.11794257164
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,3,0.788988095238095,0.9187499999999943,0.9390243902438911,1.767447015146414,1.3272508367895997,693.2164158821106,2098.3343584537506
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,4,0.7880952380952378,0.9312499999999942,0.9756097560975492,1.7251157094680123,0.6532272204756696,694.8697412014008,2793.2040996551514
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,5,0.7839285714285712,0.8374999999999948,0.8414634146341361,1.9390833866383343,2.712521743029339,684.2292292118073,3477.4333288669586
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,6,0.7961309523809522,0.9062499999999943,0.9146341463414523,1.8629559444884454,1.6092036686837574,708.600156545639,4186.033485412598
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,7,0.7985119047619046,0.9062499999999943,0.9268292682926716,1.912287016709645,1.061319632828229,707.8385705947876,4893.872056007385
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,8,0.813988095238095,0.8874999999999945,0.9268292682926716,1.6660450228622976,1.4292267240583807,695.899275302887,5589.771331310272
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,9,0.8020833333333331,0.9187499999999943,0.9512195121951104,1.741341836608591,0.8914894789457266,692.8888425827026,6282.660173892975
learning_rate,0.007,7,20251129_205524,Adam,ReLU,4,0.007,1,64,10,10,0.8196428571428569,0.8999999999999944,0.8658536585365748,1.5853035300970073,2.0625684738159054,700.6591141223907,6983.319288015366
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,1,0.6976190476190475,0.812499999999995,0.8292682926829168,1.9435386756346333,1.9989983215927953,706.8591358661652,706.8591358661652
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,2,0.7592261904761902,0.8187499999999949,0.8658536585365748,2.244455656444742,1.7301953554153335,707.2325572967529,1414.091693162918
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,3,0.7809523809523807,0.9124999999999943,0.9512195121951104,2.096233964782385,0.5904085136949979,700.4503717422485,2114.5420649051666
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,4,0.7809523809523807,0.8687499999999946,0.9268292682926716,1.9925124550859128,2.3892242550849767,693.8708856105804,2808.412950515747
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,5,0.7732142857142855,0.9062499999999943,0.9634146341463298,2.331063791861136,0.9875925518572269,690.2167212963104,3498.6296718120575
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,6,0.7961309523809522,0.799999999999995,0.8170731707316974,2.217151508196478,2.5668226040899595,692.7092394828796,4191.338911294937
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,7,0.8065476190476188,0.8624999999999946,0.9024390243902329,2.047644208016849,1.343464935570947,718.9309182167053,4910.2698295116425
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,8,0.7943452380952378,0.9812499999999938,0.9756097560975492,2.1917203388753386,0.06938626319169955,701.4635217189789,5611.733351230621
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,9,0.7967261904761903,0.8312499999999948,0.9024390243902329,2.2214995169923415,2.1141758769750463,695.6248245239258,6307.358175754547
learning_rate,0.008,8,20251129_225209,Adam,ReLU,4,0.008,1,64,10,10,0.8223214285714283,0.9437499999999941,0.9634146341463298,1.9008952738983285,0.44482993334531507,695.4813158512115,7002.839491605759
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,1,0.707142857142857,0.9062499999999943,0.9512195121951104,2.3758740267228506,0.6813993066549259,702.9078648090363,702.9078648090363
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,2,0.7663690476190474,0.8812499999999945,0.9146341463414523,2.4817079981522894,2.5013330392539346,714.6645386219025,1417.5724034309387
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,3,0.7675595238095236,0.8687499999999946,0.9756097560975492,2.4976487927848376,1.2659312963485638,703.0954682826996,2120.6678717136383
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,4,0.7675595238095236,0.8874999999999945,0.9024390243902329,3.0602693243750494,1.378861023485652,695.18385887146,2815.8517305850983
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,5,0.7919642857142855,0.8499999999999948,0.8902439024390136,2.5942612307767066,2.903915797173959,623.0273714065552,3438.8791019916534
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,6,0.7752976190476188,0.9437499999999941,0.9634146341463298,2.928761473156156,0.5594891905784573,491.3564443588257,3930.235546350479
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,7,0.8032738095238093,0.9124999999999943,0.9268292682926716,2.4214538834989066,1.2652463875710886,698.6993327140808,4628.93487906456
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,8,0.8160714285714283,0.8562499999999946,0.9512195121951104,2.200461724968183,3.041954803466778,697.8317971229553,5326.766676187515
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,9,0.8026785714285712,0.974999999999994,0.9878048780487685,2.6745766878837625,0.5949384920299016,697.8096151351929,6024.576291322708
learning_rate,0.009,9,20251130_004407,Adam,ReLU,4,0.009,1,64,10,10,0.8086309523809522,0.9374999999999942,0.9634146341463298,2.373190035741953,1.968629755824792,690.6815824508667,6715.257873773575
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,1,0.7035714285714284,0.9499999999999941,0.9756097560975492,2.2793769956344643,0.21099908426403868,702.6730983257294,702.6730983257294
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,2,0.7553571428571426,0.9499999999999941,0.9390243902438911,2.5688673915252793,0.3790051974356151,702.3416836261749,1405.0147819519043
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,3,0.7809523809523807,0.9062499999999943,0.9390243902438911,2.7333832753556107,1.9372965492308019,702.4811818599701,2107.4959638118744
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,4,0.7949404761904759,0.8687499999999946,0.9268292682926716,2.435112975892566,2.6493672065436678,694.365535736084,2801.8614995479584
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,5,0.7872023809523807,0.806249999999995,0.9024390243902329,2.8549025918756206,4.646372715383739,690.1916234493256,3492.053122997284
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,6,0.8080357142857141,0.9124999999999943,0.9512195121951104,2.536722983526331,2.25243294164537,696.1511325836182,4188.204255580902
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,7,0.7988095238095236,0.9124999999999943,0.9634146341463298,2.576443900487252,1.1656088858842777,688.3330156803131,4876.537271261215
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,8,0.813988095238095,0.812499999999995,0.8536585365853555,2.393965817313818,3.257225079834441,719.7891433238983,5596.3264145851135
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,9,0.7955357142857141,0.8687499999999946,0.9146341463414523,2.8888465053978414,3.19217426776884,698.4412732124329,6294.767687797546
learning_rate,0.01,10,20251130_024034,Adam,ReLU,4,0.01,1,64,10,10,0.8017857142857141,0.8687499999999946,0.9390243902438911,2.7330516737841415,3.2824948683380875,690.0176446437836,6984.78533244133
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,1,0.7050595238095236,0.7687499999999953,0.7560975609756005,4.957223204771676,7.952949470281552,699.5907080173492,699.5907080173492
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,2,0.7616071428571427,0.8749999999999946,0.9146341463414523,5.071071744710205,2.808499071001989,702.3229448795319,1401.913652896881
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,3,0.7735119047619046,0.8437499999999948,0.9024390243902329,5.559866789976755,4.131438957899783,709.2835369110107,2111.197189807892
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,4,0.7842261904761902,0.8999999999999944,0.9024390243902329,5.24552048540541,4.953132651746242,691.6545221805573,2802.851711988449
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,5,0.7669642857142855,0.9249999999999943,0.9024390243902329,6.393171395113069,2.0011248558759567,699.111894607544,3501.963606595993
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,6,0.7955357142857141,0.9437499999999941,0.9512195121951104,5.659351986753087,2.2807668961584424,694.8241443634033,4196.787750959396
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,7,0.7979166666666665,0.9312499999999942,0.9268292682926716,5.0952046336872225,1.6788159973919288,702.4528803825378,4899.240631341934
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,8,0.8101190476190474,0.9249999999999943,0.9634146341463298,4.844255588381062,1.8574796631932142,694.2619903087616,5593.502621650696
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,9,0.7985119047619046,0.8999999999999944,0.9756097560975492,5.419695917197635,3.354530115425566,695.9998908042908,6289.502512454987
learning_rate,0.02,11,20251130_043703,Adam,ReLU,4,0.02,1,64,10,10,0.7997023809523808,0.9062499999999943,0.9268292682926716,5.673679198218242,2.5189475595950923,697.0333619117737,6986.53587436676
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,1,0.6821428571428569,0.8874999999999945,0.9146341463414523,7.7370315022411775,7.11142807602878,710.2467367649078,710.2467367649078
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,2,0.7595238095238093,0.7812499999999951,0.8170731707316974,8.262192062501395,10.54505732133978,704.6852076053619,1414.9319443702698
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,3,0.7735119047619046,0.8874999999999945,0.9390243902438911,8.276224805698506,4.87162049934265,696.8460674285889,2111.7780117988586
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,4,0.7773809523809522,0.9499999999999941,0.9756097560975492,8.475301333800665,1.1209174633026053,696.5723867416382,2808.350398540497
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,5,0.7910714285714283,0.9249999999999943,0.9512195121951104,8.017940007079213,2.687038612365706,698.9367635250092,3507.287162065506
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,6,0.7976190476190474,0.8812499999999945,0.9512195121951104,7.992149992322636,5.267747606337037,702.6355412006378,4209.922703266144
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,7,0.788988095238095,0.8187499999999949,0.8902439024390136,8.688688468436398,11.70371818989508,699.5027525424957,4909.4254558086395
learning_rate,0.03,12,20251130_063401,Adam,ReLU,4,0.03,1,64,10,8,0.807738095238095,0.8874999999999945,0.9390243902438911,7.744428755697748,8.634103083610482,700.5333867073059,5609.958842515945
